"No.","Time","Source","Destination","Protocol","Length","Info"
"59","2016-09-27 23:00:09.060751","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"62","2016-09-27 23:00:09.278936","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=0"
"95","2016-09-27 23:00:19.262670","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=69 Ack=70 Win=3072 Len=1"
"116","2016-09-27 23:00:24.479272","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"133","2016-09-27 23:00:29.463030","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=69 Ack=70 Win=3072 Len=1"
"176","2016-09-27 23:00:39.663473","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=69 Ack=70 Win=3072 Len=1"
"213","2016-09-27 23:00:49.864004","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=69 Ack=70 Win=3072 Len=1"
"242","2016-09-27 23:00:55.089265","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"262","2016-09-27 23:01:00.070016","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=69 Ack=70 Win=3072 Len=1"
"309","2016-09-27 23:01:07.968933","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"316","2016-09-27 23:01:08.255222","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=139 Ack=139 Win=3072 Len=0"
"378","2016-09-27 23:01:18.239452","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=138 Ack=139 Win=3072 Len=1"
"395","2016-09-27 23:01:23.459230","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"415","2016-09-27 23:01:28.440067","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=138 Ack=139 Win=3072 Len=1"
"443","2016-09-27 23:01:33.138980","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"447","2016-09-27 23:01:33.357323","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=208 Ack=208 Win=3072 Len=0"
"489","2016-09-27 23:01:43.341399","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=207 Ack=208 Win=3072 Len=1"
