"No.","average","variance","class"
0,71,1.0041580220928046,label
1,71,1.0041580220928046,label
2,73,4.564354645876384,label
3,71,1.0041580220928046,label
4,71,1.0041580220928046,label
5,72,1.0954451150103321,label
6,70,0.9128709291752769,label
7,71,1.0041580220928046,label
8,71,1.0041580220928046,label
9,71,1.0041580220928046,label
10,71,1.0041580220928046,label
11,73,1.18673220792786,label
12,72,1.0954451150103321,label
13,71,1.0041580220928046,label
14,72,1.0954451150103321,label
15,71,1.0041580220928046,label
16,72,1.0954451150103321,label
17,73,1.18673220792786,label
18,72,1.0954451150103321,label
19,74,4.473067552958857,label
20,73,1.18673220792786,label
21,73,6.024948132556827,label
22,74,1.2780193008453875,label
23,72,1.0954451150103321,label
24,72,1.0954451150103321,label
25,74,4.473067552958857,label
26,72,1.0954451150103321,label
27,71,1.0041580220928046,label
28,72,1.0954451150103321,label
29,70,4.838215924628967,label
30,72,1.0954451150103321,label
31,72,1.0954451150103321,label
32,72,1.0954451150103321,label
33,73,1.18673220792786,label
34,73,10.041580220928045,label
35,73,1.18673220792786,label
36,74,1.2780193008453875,label
37,72,1.0954451150103321,label
38,71,1.0041580220928046,label
39,74,1.2780193008453875,label
40,73,6.024948132556827,label
41,74,1.2780193008453875,label
42,74,1.2780193008453875,label
43,73,1.18673220792786,label
44,73,1.18673220792786,label
45,72,4.655641738793912,label
46,72,1.0954451150103321,label
47,74,1.2780193008453875,label
48,72,1.0954451150103321,label
49,72,1.0954451150103321,label
50,75,1.3693063937629153,label
51,73,1.18673220792786,label
52,74,1.2780193008453875,label
53,75,1.3693063937629153,label
54,72,4.655641738793912,label
55,75,1.3693063937629153,label
56,75,1.3693063937629153,label
57,75,1.3693063937629153,label
58,75,1.3693063937629153,label
59,73,1.18673220792786,label
60,72,1.0954451150103321,label
61,73,4.564354645876384,label
62,71,1.0041580220928046,label
63,72,1.0954451150103321,label
64,72,1.0954451150103321,label
65,72,1.0954451150103321,label
66,74,1.2780193008453875,label
67,72,1.0954451150103321,label
68,72,1.0954451150103321,label
69,73,1.18673220792786,label
70,71,1.0041580220928046,label
71,71,1.0041580220928046,label
72,71,1.0041580220928046,label
73,72,1.0954451150103321,label
